North American Industry Classification System (NAICS),Jun-19,Jul-19,Aug-19,Sep-19,Oct-19
Wholesale trade  [41],"57,423","58,211","57,532","57,873","57,232"
Farm product merchant wholesalers  [411],"1,220","1,215","1,286","1,235","1,249"
"Food, beverage and tobacco merchant wholesalers  [413]","10,155","10,157","9,993","10,019","10,049"
Food merchant wholesalers  [4131],"9,040","9,009","8,885","8,885","8,955"
Beverage merchant wholesalers  [4132],650,642,645,675,630
Cigarette and tobacco product merchant wholesalers  [4133],465,506,462,459,464
Personal and household goods merchant wholesalers  [414],"9,086","9,527","9,277","9,385","9,390"
"Textile, clothing and footwear merchant wholesalers  [4141]","1,284","1,410","1,264","1,253","1,163"
Home entertainment equipment and household appliance merchant wholesalers  [4142],767,804,787,843,850
Home furnishings merchant wholesalers  [4143],553,518,547,569,562
Personal goods merchant wholesalers  [4144],968,941,921,932,872
"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers  [4145]","5,514","5,855","5,758","5,789","5,942"
Pharmaceuticals and pharmacy supplies merchant wholesalers  [41451],"4,624","4,967","4,879","4,905","5,041"
"Toiletries, cosmetics and sundries merchant wholesalers  [41452]",890,888,879,883,901
Motor vehicle and motor vehicle parts and accessories merchant wholesalers   [415],"9,596","9,958","9,837","9,721","9,745"
Motor vehicle merchant wholesalers  [4151],"7,453","7,801","7,719","7,631","7,779"
New motor vehicle parts and accessories merchant wholesalers  [4152],"2,078","2,091","2,045","2,026","1,891"
Used motor vehicle parts and accessories merchant wholesalers  [4153],65,66,74,64,75
Building material and supplies merchant wholesalers  [416],"7,650","7,635","7,673","7,666","7,669"
"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers  [4161]","2,445","2,470","2,418","2,494","2,500"
Metal service centres  [4162],"1,749","1,723","1,792","1,760","1,785"
"Lumber, millwork, hardware and other building supplies merchant wholesalers  [4163]","3,456","3,442","3,463","3,412","3,383"
"Machinery, equipment and supplies merchant wholesalers  [417]","12,256","12,030","11,692","12,193","11,804"
"Farm, lawn and garden machinery and equipment merchant wholesalers  [4171]","1,384","1,402","1,327","1,412","1,360"
"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers  [4172]","3,438","3,322","3,155","3,357","3,265"
Computer and communications equipment and supplies merchant wholesalers  [4173],"4,173","4,081","4,143","4,199","4,020"
"Other machinery, equipment and supplies merchant wholesalers  [4179]","3,261","3,225","3,068","3,225","3,159"
Miscellaneous merchant wholesalers  [418],"7,460","7,689","7,774","7,654","7,327"
Recyclable material merchant wholesalers  [4181],695,752,773,755,656
"Paper, paper product and disposable plastic product merchant wholesalers  [4182]",887,844,822,830,830
Agricultural supplies merchant wholesalers  [4183],"2,436","2,667","2,718","2,570","2,328"
Chemical (except agricultural) and allied product merchant wholesalers  [4184],"1,165","1,233","1,235","1,201","1,197"
Other miscellaneous merchant wholesalers  [4189],"2,278","2,193","2,226","2,297","2,316"
